200,2010,"GATEWAY SKYLINE PARTNERS",SEAT,,,"601 E CHASE ST",,,PENSACOLA,FL,32501,27,4320202,"RESIDENCE INN BY MARRIOTT",,"601 E CHASE ST",,,PENSACOLA,FL,32501,27,4320202,6,15,SEA2705653,20,20,06/01/2017,04/27/2016,32,"Risk Level 1",
200,2010,"MICHAEL TITZE COMPANY INC",SEAT,,"MICHAEL TITLE CO INC","2910 KERRY FOREST PKWY D4-374",,,TALLAHASSEE,FL,32309,47,,"VILLAGE INN",,"1590 E NINE MILE RD",,,PENSACOLA,FL,32514,27,2020147,6,03,SEA2705663,20,20,06/01/2017,02/10/2016,156,"Risk Level 2",
200,2010,"PERDIDO KEY SEAFOOD",SEAT,,"CRAB TRAP PERDIDO ","PO BOX 5497",,,DESTIN,FL,32546,56,,"CRAB TRAP",,"16495 PERDIDO KEY DR",,,PENSACOLA,FL,32507,27,4928880,6,03,SEA2705684,20,20,06/01/2017,11/06/2015,150,"Risk Level 2",
200,2010,"HEMBREE M E LLC",SEAT,,"M E HEMBREE INC","PO BOX 12964",,,PENSACOLA,FL,32591,27,,"MCDONALDS #27599",,"1610 S HWY 29",,,CANTONMENT,FL,32533,27,9376771,6,02,SEA2705696,20,20,06/01/2017,08/20/2015,90,"Risk Level 1",
200,2010,"AMBERSON SCOTT & KRISTIN",SEAT,,"PEG LEG PETES ","PO BOX 1373",,,"GULF BREEZE",FL,325621373,27,,"PEG LEG PETE'S OYSTER BAR",,"1010 FT PICKENS",,,"PENSACOLA BCH",FL,325613904,27,(850)893-4139,6,15,SEA2704019,20,20,06/01/2017,03/16/2016,210,"Risk Level 2",
200,2010,"BARNES ROBERT",SEAT,,,"1757 E NINE MILE RD",,,PENSACOLA,FL,32514,27,4844885,"CHICK FIL A OF NINE MILE RD",,"1757 E NINE MILE RD",,,PENSACOLA,FL,32514,27,4844885,6,03,SEA2705723,20,20,06/01/2017,02/26/2016,100,"Risk Level 2",
200,2010,"FOREHAND JANICE Y",SEAT,,,"1605 ELM STREET",,,QUINCY,FL,323514116,30,850-875-4677,"ROYAL SAVOY PATIO",,"1834 SW FLAGLER AVE",,,QUINCY,FL,323514116,30,850-627-8031,6,01,SEA3000027,20,20,06/01/2017,05/18/2016,62,"Risk Level 1",
200,2010,"JRN INC",SEAT,,"JRN INC","209 W 7TH ST",,,COLUMBIA,TN,38401,30,,"KENTUCKY FRIED CHICKEN #446",,"1307 W JEFFERSON ST",,,QUINCY,FL,323512127,30,(850)627-8700,6,01,SEA3000150,20,20,06/01/2017,03/29/2016,70,"Risk Level 2",
200,2010,"PONDER ENTERPRISES INC",SEAT,,"PONDER ENTERPRISES INC/ACCTS PAYABLE","PO BOX 106",,,DONALSONVILLE,GA,39845,30,229-524-2083,"HARDEES OF QUINCY",,"100 W JEFFERSON ST",,,QUINCY,FL,323512322,30,(850)627-2424,6,01,SEA3000255,20,20,06/01/2017,03/28/2016,68,"Risk Level 2",
200,2010,"JOHNSON STUART H",SEAT,,,"215 N MADISON ST",,,QUINCY,FL,32351,30,(850)875-2511,"ALLISON HOUSE INN",,"215 N MADISON ST",,,QUINCY,FL,32351,30,(850)875-2511,6,01,SEA3000269,20,20,06/01/2017,05/06/2016,12,"Risk Level 1",
200,2010,"PIERCE HENRY",SEAT,,,"910 NEW WARRINGTON RD",,,PENSACOLA,FL,325064251,27,,"CIRCLE BOWLING CENTER INC",,"910 NEW WARRINGTON RD",,,PENSACOLA,FL,325064251,27,,6,02,SEA2700296,20,20,06/01/2017,06/27/2016,36,"Risk Level 1",
200,2010,"BLUEWATER FOODS LLC",SEAT,,,"2640 CREIGHTON RD",,,PENSACOLA,FL,32504,27,4770025,ZAXBY'S,,"2640 CREIGHTON RD",,,PENSACOLA,FL,32504,27,4770025,6,15,SEA2705789,20,20,06/01/2017,01/21/2016,92,"Risk Level 1",
200,2010,"WENDCO CORP",SEAT,,,"220 W GARDEN ST  STE 500",,,PENSACOLA,FL,32502,27,,"WENDYS #101",,"5685 N 9 AVE",,,PENSACOLA,FL,325048731,27,(850)477-3566,6,15,SEA2701106,20,20,06/01/2017,03/24/2016,91,"Risk Level 2",
200,2010,"MICHAEL TITZE CO INC",SEAT,,"MICHAEL TITZE CO INC","2910 KERRY FOREST PKWY D4-374",,,TALLAHASSEE,FL,32309,47,,"VILLAGE INN RESTAURANT",,"5170 N 9 AVE",,,PENSACOLA,FL,325048722,27,(850)478-0040,6,15,SEA2700982,20,20,06/01/2017,03/29/2016,134,"Risk Level 2",
200,2010,"SANDERS RANDALL K",SEAT,,,"3708 NAVY BLVD",,,PENSACOLA,FL,325071218,27,(850)456-0165,"CHETS SEAFOOD REST",,"3708 NAVY BLVD",,,PENSACOLA,FL,325071218,27,(850)456-0165,6,03,SEA2702013,20,20,06/01/2017,04/13/2016,56,"Risk Level 2",
200,2010,"HOLLER JIM L",SEAT,,,"30 S PALAFOX ST",,,PENSACOLA,FL,325015626,27,(850)432-3104,"DOG HOUSE DELI",,"30 S PALAFOX ST",,,PENSACOLA,FL,32502,27,(850)432-3104,6,12,SEA2701341,20,20,06/01/2017,05/27/2016,24,"Risk Level 2",
