200,2010,"ANNIE'S OF CORTEZ INC.",SEAT,,,"PO BOX 156",,,CORTEZ,FL,34215,51,,"ANNIE'S BAIT & TACKLE",,"4334 127 ST W",,,CORTEZ,FL,34215,51,9417943580,7,01,SEA5105395,20,20,12/01/2016,06/17/2016,33,"Risk Level 2",
200,2010,"PKV LLC",SEAT,,,"10081 INTERCOM DR",,,"FORT MYERS",FL,33913,46,239.939.5002,"COMFORT INN & SUITES",,"10081 INTERCOM DR",,,"FORT MYERS",FL,33913,46,239.939.5002,7,17,SEA4606031,20,20,12/01/2016,10/27/2015,50,"Risk Level 1",
200,2016,"TERESA YANEZ",TLIC,,,"420 N BREVARD AVE",,,ARCADIA,FL,34266,24,,"GONZALEZ JAQUERIA",,"DESOTO COUNTY FAIRGOURNDS",,,ARCADIA,FL,34266,24,,7,08,2400166,20,,01/22/2010,,0,,
200,2016,"LBG CONCESSIONS & CATERING INC",TLIC,,,"COGINA BEACH",,,"BRADENTON BEACH",FL,34217,51,407-421-9925,"LBG CONCESSIONS & CATERING",,"COGINA BEACH",,,"BRADENTON BEACH",FL,34217,51,407-421-9925,7,04,5105401,20,,01/17/2010,,0,,
200,2010,"RATZENBERGER DAVID P",SEAT,,,"3208 13TH STREET W",,,"LEHIGH ACRES",FL,33971,46,703.505.6246,"KENWOOD LANE GRILL",,"12791 KENWOOD LANE",,,"FORT MYERS",FL,33907,46,239.728.5400,7,13,SEA4605613,20,20,12/01/2016,05/04/2016,94,"Risk Level 2",
200,2010,"SENOR TEQUILA'S INC",SEAT,,"ELVIA FLETES","26801 S TAMIAMI TRL",,,"BONITA SPRINGS",FL,34134,46,239.438.0878,"SENOR TEQUILA'S INC",,"26801 S TAMIAMI TRL",,,"BONITA SPRINGS",FL,34134,46,239.438.0878,7,19,SEA4604419,20,20,12/01/2016,04/20/2016,170,"Risk Level 2",
200,2010,"PITTSBURGH ASSOCIATES",SEAT,,,"1701 27 ST E",,,BRADENTON,FL,34208,51,941.747.3031,"PITTSBURG ASSOCIATES",,"1611 9TH STREET WEST",,,BRADENTON,FL,34205,51,941-747-3031,7,01,SEA5105388,20,20,12/01/2016,02/29/2016,40,"Risk Level 1",
200,2010,"JAMA FOOD SERVICES INC",NOST,,,"13612 PINE VILLA LANE",,,"FORT MYERS",FL,33912,46,,"LITTLE CAESARS",,"75 NORTH BRIDGE ST.",,,LABELLE,FL,33935,36,,7,17,NOS3600516,20,20,12/01/2016,06/30/2016,0,"Risk Level 1",
200,2010,"AHMAD CORPORATION",SEAT,,,"3315 DR MARTIN LUTHER KING BLVD",,,"FORT MYERS",FL,33916,46,239.479.5015,"MLK RESTAURANT & GROCERY",,"3315 DR MARTIN LUTHER KING BLVD",,,"FORT MYERS",FL,33916,46,239.878.0259,7,09,SEA4605221,20,20,12/01/2016,05/18/2016,20,"Risk Level 2",
200,2010,"MAYURI INN INC",SEAT,,,"580 66TH STREET CT E",,,BRADENTON,FL,34208,51,,"COMFORT INN",,"580 66TH STREET CT E",,,BRADENTON,FL,34208,51,917-747-7500,7,02,SEA5105394,20,20,12/01/2016,02/11/2016,24,"Risk Level 1",
200,2010,"MORE VENTURES INC",SEAT,,,"PO BOX 9439",,,"LONGBOAT KEY",FL,34228,51,941.383.2008,"MCDONALD'S #33821",,"11050 SR 64 EAST",,,BRADENTON,FL,34211,51,941.749.7909,7,02,SEA5105398,20,20,12/01/2016,06/30/2016,70,"Risk Level 1",
